MaStR-Nr. der Einheit,Anzeige-Name der Einheit,Betriebs-Status,Energieträger,Bruttoleistung der Einheit,Nettonennleistung der Einheit,Inbetriebnahmedatum der Einheit,Inbetriebnahmedatum der Einheit am aktuellen Standort,Registrierungsdatum der Einheit,Bundesland,Postleitzahl,Ort,Straße,Hausnummer,Gemarkung,Flurstück,Gemeindeschlüssel,Gemeinde,Landkreis,Koordinate: Breitengrad (WGS84),Koordinate: Längengrad (WGS84),Lat,Lon,Technologie der Stromerzeugung,Art der Solaranlage,Anzahl der Solar-Module,Hauptausrichtung der Solar-Module,Hauptneigungswinkel der Solar-Module,Nutzungsbereich des Gebäudes mit Solaranlage,Name des Solarparks,Überwiegende Nutzungsart der Fläche vor Errichtung der Solaranlage,Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung der Solaranlage,Größe der in Anspruch genommenen Fläche in Hektar,Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung,Lichte Höhe in Meter,Name des Windparks,Wind an Land oder auf See,Nabenhöhe der Windenergieanlage,Rotordurchmesser der Windenergieanlage,Hersteller der Windenergieanlage,Typenbezeichnung,Hauptbrennstoff der Einheit,MaStR-Nr. der Speichereinheit,Speichertechnologie,Nutzbare Speicherkapazität in kWh,Letzte Aktualisierung,Datum der endgültigen Stilllegung,Datum der geplanten Inbetriebnahme,Name des Anlagenbetreibers (nur Org.),"	MaStR-Nr. des Anlagenbetreibers",Volleinspeisung oder Teileinspeisung,MaStR-Nr. der Genehmigung,Name des Anschluss-Netzbetreibers,MaStR-Nr. des Anschluss-Netzbetreibers,Netzbetreiberprüfung,Spannungsebene,MaStR-Nr. der Lokation,MaStR-Nr. der EEG-Anlage,EEG-Anlagenschlüssel,Inbetriebnahmedatum der EEG-Anlage,Installierte Leistung der EEG-Anlage,Zuschlagnummer (EEG/KWK-Ausschreibung),MaStR-Nr. der KWK-Anlage,Inbetriebnahmedatum der KWK-Anlage,Elektrische KWK-Leistung,Thermische Nutzleistung in kW
SEE991181426935,VM-01,In Betrieb,Wind,6300,6300,19/03/2017,,05/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,434,155","5,828,958",54.34155,5.82896,Horizontalläufer,,,,,,,,,,,,OWP Veja Mate,Windkraft auf See,"103,28",154,Siemens Wind Power GmbH & Co. KG,SWT-6.0-154,,,,,09/01/2025,,,Veja Mate Offshore Project GmbH,ABR952939818853,Volleinspeisung,SGE921087548875,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL929196129428,EEG968963498985,E2026001VEJAMATE00000000000000001,19/03/2017,6300,,,,,
SEE948492783349,DT01,In Betrieb,Wind,3780,3780,04/12/2014,,06/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,067,578","7,174,499",55.06758,7.17450,Horizontalläufer,,,,,,,,,,,,OWP DanTysk,Windkraft auf See,88,120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,14/04/2023,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE922210030212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL960138676303,EEG914567038492,E2026001HRA0000000DYSKE0000100001,04/12/2014,3780,,,,,
SEE996261343003,DT02,In Betrieb,Wind,3780,3780,04/12/2014,,20/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,507,562","7,175,124",55.07562,7.17512,Horizontalläufer,,,,,,,,,,,,OWP DanTysk,Windkraft auf See,88,120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,13/04/2023,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE922210030212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL960138676303,EEG917638821283,E2026001HRA0000000DYSKE0000100002,04/12/2014,3780,,,,,
SEE990582178207,A1,In Betrieb,Wind,3780,3780,15/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,949,617","13,083,867",54.94962,13.08387,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE954425470651,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG948099790603,E4045001BALTIC02OFFFLAKxWTGxA1x01,15/07/2015,3780,,,,,
SEE969452881615,B1,In Betrieb,Wind,3780,3780,15/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,957,388","13,092,806",54.95739,13.09281,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE955712086135,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG986817579130,E4045001BALTIC02OFFFLAKxWTGxB1x02,15/07/2015,3780,,,,,
SEE998929495550,B2,In Betrieb,Wind,3780,3780,15/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,950,259","13,096,126",54.95026,13.09613,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE930194532806,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG933649767365,E4045001BALTIC02OFFFLAKxWTGxB2x03,15/07/2015,3780,,,,,
SEE927962800113,C1,In Betrieb,Wind,3780,3780,09/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,964,647","13,101,726",54.96465,13.10173,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE946321400696,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG980683207418,E4045001BALTIC02OFFFLAKxWTGxC1x04,09/06/2015,3780,,,,,
SEE941324537936,C2,In Betrieb,Wind,3780,3780,28/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,958,302","13,104,696",54.95830,13.10470,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE930801652958,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG940997765738,E4045001BALTIC02OFFFLAKxWTGxC2x05,28/06/2015,3780,,,,,
SEE947813172213,C3,In Betrieb,Wind,3780,3780,04/07/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,951,958","13,107,649",54.95196,13.10765,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE996464599764,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG905706612543,E4045001BALTIC02OFFFLAKxWTGxC3x06,04/07/2015,3780,,,,,
SEE994749457228,D1,In Betrieb,Wind,3780,3780,09/06/2015,,13/02/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"54,972,073","13,110,516",54.97207,13.11052,Horizontalläufer,,,,,,,,,,,,Baltic 2,Windkraft auf See,"78,25",120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,23/01/2025,,,EnBW Baltic 2 GmbH & Co. KG,ABR909721922298,Volleinspeisung,SGE979607150268,50Hertz Transmission GmbH (SNB982046657236),SNB982046657236,Geprüft,Höchstspannung,SEL990492206410,EEG915459343656,E4045001BALTIC02OFFFLAKxWTGxD1x07,09/06/2015,3780,,,,,
