MaStR-Nr. der Einheit,Anzeige-Name der Einheit,Betriebs-Status,Energieträger,Bruttoleistung der Einheit,Nettonennleistung der Einheit,Inbetriebnahmedatum der Einheit,Inbetriebnahmedatum der Einheit am aktuellen Standort,Registrierungsdatum der Einheit,Bundesland,Postleitzahl,Ort,Straße,Hausnummer,Gemarkung,Flurstück,Gemeindeschlüssel,Gemeinde,Landkreis,Koordinate: Breitengrad (WGS84),Koordinate: Längengrad (WGS84),Lat,Lon,Technologie der Stromerzeugung,Art der Solaranlage,Anzahl der Solar-Module,Hauptausrichtung der Solar-Module,Hauptneigungswinkel der Solar-Module,Nutzungsbereich des Gebäudes mit Solaranlage,Name des Solarparks,Überwiegende Nutzungsart der Fläche vor Errichtung der Solaranlage,Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung der Solaranlage,Größe der in Anspruch genommenen Fläche in Hektar,Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung,Lichte Höhe in Meter,Name des Windparks,Wind an Land oder auf See,Nabenhöhe der Windenergieanlage,Rotordurchmesser der Windenergieanlage,Hersteller der Windenergieanlage,Typenbezeichnung,Hauptbrennstoff der Einheit,MaStR-Nr. der Speichereinheit,Speichertechnologie,Nutzbare Speicherkapazität in kWh,Letzte Aktualisierung,Datum der endgültigen Stilllegung,Datum der geplanten Inbetriebnahme,Name des Anlagenbetreibers (nur Org.),"	MaStR-Nr. des Anlagenbetreibers",Volleinspeisung oder Teileinspeisung,MaStR-Nr. der Genehmigung,Name des Anschluss-Netzbetreibers,MaStR-Nr. des Anschluss-Netzbetreibers,Netzbetreiberprüfung,Spannungsebene,MaStR-Nr. der Lokation,MaStR-Nr. der EEG-Anlage,EEG-Anlagenschlüssel,Inbetriebnahmedatum der EEG-Anlage,Installierte Leistung der EEG-Anlage,Zuschlagnummer (EEG/KWK-Ausschreibung),MaStR-Nr. der KWK-Anlage,Inbetriebnahmedatum der KWK-Anlage,Elektrische KWK-Leistung,Thermische Nutzleistung in kW
SEE923802377883,WEA 2,In Planung,Wind,5700,5700,,,01/02/2019,Baden-Württemberg,78183,Hüfingen,,,Fürstenberg,1490/1,08326005,Blumberg,Schwarzwald-Baar-Kreis,"47,881,949","8,592,151",47.8819490,8.592151,Horizontalläufer,,,,,,,,,,,,Windpark Länge,Windkraft an Land,164,163,Nordex SE,N163/5.x,,,,,29/10/2024,,01/10/2026,solarcomplex GmbH & Co. KG Windpark Länge,ABR968018016836,Volleinspeisung,SGE969844675464,naturenergie netze GmbH (SNB945502201350),SNB945502201350,,Mittelspannung,,EEG950487655784,,,5700,"WIN23-4/077,",,,,
SEE950179793688,WEA 3,In Planung,Wind,5700,5700,,,01/02/2019,Baden-Württemberg,78183,Hüfingen,,,Fürstenberg,1490/1,08326005,Blumberg,Schwarzwald-Baar-Kreis,"47,880,898","8,597,642",47.8808980,8.597642,Horizontalläufer,,,,,,,,,,,,Windpark Länge,Windkraft an Land,164,163,Nordex SE,N163/5.7,,,,,29/10/2024,,01/10/2026,solarcomplex GmbH & Co. KG Windpark Länge,ABR968018016836,Volleinspeisung,SGE969844675464,naturenergie netze GmbH (SNB945502201350),SNB945502201350,,Mittelspannung,,EEG907717508150,,,5700,"WIN23-4/077,",,,,
SEE926034105682,WEA 4,In Planung,Wind,5700,5700,,,01/02/2019,Baden-Württemberg,78183,Hüfingen,,,Fürstenberg,1492,08326005,Blumberg,Schwarzwald-Baar-Kreis,"47,881,193","8,604,953",47.8811930,8.604953,Horizontalläufer,,,,,,,,,,,,Windpark Länge,Windkraft an Land,164,163,Nordex SE,N163/5.7,,,,,29/10/2024,,01/10/2026,solarcomplex GmbH & Co. KG Windpark Länge,ABR968018016836,Volleinspeisung,SGE969844675464,naturenergie netze GmbH (SNB945502201350),SNB945502201350,,Mittelspannung,,EEG991579478775,,,5700,"WIN23-4/077,",,,,
SEE971087087461,WEA 6,In Planung,Wind,5700,5700,,,01/02/2019,Baden-Württemberg,78183,Hüfingen,,,Fürstenberg,1491,08326027,Hüfingen,Schwarzwald-Baar-Kreis,"47,890,047","8,599,871",47.8900470,8.599871,Horizontalläufer,,,,,,,,,,,,Windpark Länge,Windkraft an Land,164,163,Nordex SE,N163/5.7,,,,,29/10/2024,,01/10/2026,solarcomplex GmbH & Co. KG Windpark Länge,ABR968018016836,Volleinspeisung,SGE969844675464,naturenergie netze GmbH (SNB945502201350),SNB945502201350,,Mittelspannung,,EEG981693361169,,,5700,"WIN23-4/077,",,,,
SEE910634021237,WEA 7,In Planung,Wind,5700,5700,,,01/02/2019,Baden-Württemberg,78166,Donaueschingen,,,Neudingen,2195,08326012,Donaueschingen,Schwarzwald-Baar-Kreis,"47,890,135","860,723",47.8901350,8.607230,Horizontalläufer,,,,,,,,,,,,Windpark Länge,Windkraft an Land,164,163,Nordex SE,N163/5.7,,,,,29/10/2024,,01/10/2026,solarcomplex GmbH & Co. KG Windpark Länge,ABR968018016836,Volleinspeisung,SGE969844675464,naturenergie netze GmbH (SNB945502201350),SNB945502201350,,Mittelspannung,,EEG973105952683,,,5700,"WIN23-4/077,",,,,
SEE993918975099,WEA 8,In Planung,Wind,5700,5700,,,01/02/2019,Baden-Württemberg,78166,Donaueschingen,,,Neudingen,2195,08326012,Donaueschingen,Schwarzwald-Baar-Kreis,"47,889,817","8,614,181",47.8898170,8.614181,Horizontalläufer,,,,,,,,,,,,Windpark Länge,Windkraft an Land,164,163,Nordex SE,N163/5.7,,,,,29/10/2024,,01/10/2026,solarcomplex GmbH & Co. KG Windpark Länge,ABR968018016836,Volleinspeisung,SGE969844675464,naturenergie netze GmbH (SNB945502201350),SNB945502201350,,Mittelspannung,,EEG963968751882,,,5700,"WIN23-4/077,",,,,
SEE958839237145,WKA 4,In Planung,Wind,3450,3450,,,06/02/2019,Hessen,34388,Trendelburg,,,Gemarkung Trendelburg,"Flur 1, Flurstück 1/1",06633025,Trendelburg,Kassel,"51,625,131","9,382,533",51.6251310,9.382533,Horizontalläufer,,,,,,,,,,,,Windpark Bad Karlshafen,Windkraft an Land,149,126,Vestas Deutschland GmbH,V126,,,,,04/09/2025,,03/02/2020,Windpark Bad Karlshafen GmbH & Co. KG,ABR956468840422,Volleinspeisung,SGE994582645288,EAM Netz GmbH (SNB971311555230),SNB971311555230,,Mittelspannung,,EEG961323409782,,,3450,,,,,
SEE927210958030,WEA 6 / 1011501,In Planung,Wind,3050,3050,,,19/02/2019,Niedersachsen,21730,Balje,,,Balje,"Flur 43, Flurstück 3/2",03359004,Balje,Stade,"53,792,942","9,143,792",53.7929420,9.143792,Horizontalläufer,,,,,,,,,,,,Geversdorf,Windkraft an Land,135,101,ENERCON GmbH,E-101,,,,,04/09/2025,,31/08/2021,GREE Geversdorf GmbH & Co. KG,ABR917631835034,Volleinspeisung,SGE933863223463,Avacon Netz GmbH (SNB990362338043),SNB990362338043,,Hochspannung,,EEG995714592807,,,3050,,,,,
SEE990780244247,WEA 1,In Planung,Wind,3300,3300,,,22/02/2019,Mecklenburg-Vorpommern,18519,Sundhagen,,,Wilmshagen,Flur1: 202/3,13073090,Sundhagen,Vorpommern-Rügen,"54,166,837","13,182,058",54.1668370,13.182058,Horizontalläufer,,,,,,,,,,,,Windpark Mannhagen,Windkraft an Land,137,126,Vestas Deutschland GmbH,V126,,,,,04/09/2025,,30/06/2022,Windpark Miltzow-Reinkenhagen GmbH & Co. KG,ABR953208966008,Volleinspeisung,SGE941824033952,E.DIS Netz GmbH (SNB941690671609),SNB941690671609,,Mittelspannung,,EEG902675471386,,,3300,,,,,
SEE946826573239,GM1,In Planung,Wind,3150,3150,,,22/02/2019,Bayern,84104,Rudelzhausen,,,Grünberg,523,09178122,Rudelzhausen,Freising,"48,59","11,8",48.5900000,11.800000,Horizontalläufer,,,,,,,,,,,,GM1,Windkraft an Land,"135,4",101,ENERCON GmbH,E101,,,,,04/09/2025,,30/08/2019,natürliche Person (ABR936835631488),ABR936835631488,Volleinspeisung,SGE979302345716,Bayernwerk Netz GmbH (SNB940352624434),SNB940352624434,,Mittelspannung,,EEG987708345797,,,3150,,,,,
